epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,6707.23,0.73785,0.67518,1.20878,0.80246,0.60542,0.66471,0.52886,0.90108,0.97861,1.39174,0.0006932,0.0006932,0.0006932
134,6733.69,0.73311,0.6617,1.20827,0.84185,0.59036,0.65542,0.52465,0.9056,0.94104,1.4151,0.0006833,0.0006833,0.0006833
135,6760.44,0.71695,0.64631,1.1967,0.85557,0.58881,0.65043,0.50627,0.93086,0.98805,1.41474,0.0006734,0.0006734,0.0006734
136,6787.1,0.74183,0.67917,1.20477,0.84043,0.58697,0.65154,0.51063,0.90758,0.93611,1.41491,0.0006635,0.0006635,0.0006635
137,6813.65,0.71085,0.6357,1.18998,0.82362,0.60843,0.66683,0.53389,0.8779,0.9195,1.37818,0.0006536,0.0006536,0.0006536
138,6840.45,0.73703,0.67682,1.20982,0.84681,0.59036,0.66763,0.52768,0.89568,0.91624,1.40463,0.0006437,0.0006437,0.0006437
139,6867.15,0.67079,0.59021,1.17135,0.86343,0.59036,0.65592,0.51921,0.91433,0.90536,1.42368,0.0006338,0.0006338,0.0006338
140,6893.67,0.70175,0.63384,1.18764,0.86128,0.58735,0.66536,0.52743,0.88585,0.88765,1.39254,0.0006239,0.0006239,0.0006239
141,6920.22,0.72345,0.64468,1.197,0.86026,0.59334,0.65833,0.53647,0.89421,0.92375,1.40871,0.000614,0.000614,0.000614
142,6946.88,0.72488,0.65643,1.20072,0.86835,0.58434,0.65015,0.53123,0.88137,0.92013,1.39095,0.0006041,0.0006041,0.0006041
143,6973.45,0.71275,0.63914,1.19324,0.88168,0.57229,0.65995,0.5292,0.89086,0.90209,1.40518,0.0005942,0.0005942,0.0005942
144,7000.13,0.71947,0.65985,1.19804,0.88511,0.58014,0.65261,0.53569,0.8812,0.87935,1.39308,0.0005843,0.0005843,0.0005843
